push-up	armheving
hostmaster	namnemeister/navnemester, namneforvaltar/navneforvalter (for særskilde Internett-tenester)
management consultant	bedriftsrådgjevar/bedriftsrådgiver, strategirådgjevar/strategirådgiver
online	oppkopla/oppkoplet, tilkopla/tilkoplet, på nettet (IKT); tilgjengeleg/tilgjengelig eller «med» (sjargong), jf. offline
benchmark	referansenivå, -norm, -verdi, styringsmål, (allment/nær.liv); fastmerke (landmåling)
e-learning	e-læring
halfpipe	(snø)renne (jf. takrenne), halvpipe («i pipa»), halvrør («i røret»)
e-reader	lesebrett
general data protection regulation (gdpr)	personvernforordningen (PVF)
mnemonic	hugsesymbol/huskesymbol, hugseregel/huskeregel
producer	produsent, produksjonsleiar/produksjonsleder, produksjonsansvarleg/produksjonsansvarlig
auditory icon	lydikon, lydlogo, auditivt ikon, jf. earcon
blackpacker	(humor.:) svartsekk (jf. backpacker)
e-cash	e-pengar/e-penger, digitale pengar / digitale penger
spam	søppelpost
spoiler alert	plottblottar/plottblotter, røpealarm, røpevarsel
trigger	utløysande faktor / utløsende faktor, inspirasjonskjelde/inspirasjonskilde
competitive edge	konkurransefordel, konkurranseforsprang
docu-soap	dokumentarsåpe, dokusåpe
just-in-time-prinsippet	i-rett(e)-tid-prinsippet, der-og-da-prinsippet
footer	botntekst/bunntekst, jf. header (IKT)
hibernation mode	dvalemodus (IKT)
joystick	styrespak, kontrollspak
research	(for)undersøking/(for)undersøkelse, kjeldearbeid/kildearbeid
tutorial	rettleiing/veiledning
call center	kundesenter, kundetelefon, jf. help desk
eyewear	augetøy/øyetøy
feedback	tilbakemelding, respons, reaksjon, tilbakekopling, svar
goodwill	velvilje, godvilje
heading	overskrift, tittel (media); nikking, hedding (idr.)
oppbacking	oppbakking, jf. backing
space manager	vareansvarleg/vareansvarlig
stout	stautøl
applet	miniprogram, javasnutt
crowd funding	kronerulling (på nett), pengeinnsamling, folkefinansiering
doughnut	(amerikansk) smultring
voice mail	talepost
flatmate	bufelle/bofelle, medbuar/medboer
sampling	punktprøving (tekn.); digitalisering (mus., media); direkte utdeling av vareprøver (nær.liv)
timesharing	tidsdeling, deltidsbruk; deltids(l)eige/deltids(l)eie
attach	leggje/legge ved, sende med
beacon	mobilfyr
child grooming	barnelokking
no-platform	scenenekt
space management	varestyring
widescreen	breiskjerm/bredskjerm
comeback	tilbakekomst
downlight	(innfelt) nedlys
human resource (hr)	personalressurs
mountain biking	terrengsykling, jf. offroad-sykkel
weasel	beltebil
cloud computing	nettsky (IKT)
refill	påfyll
promotion	salsframstøyt/salgsframstøt; (fram)hjelp, fremming, promotering
skippe	late vere / la være, hoppe over, sløyfe, kutte ut
supply-båt	forsyningsbåt
voucher	studiebillett, studiesertifikat (utd.); (hotell)kupong
fast food	kjappmat, hurtigmat, snøggmat, gatekjøkkenmat, jf. junk food
flight	(fly)avgang, (fly)rute, flyging/flygning, flytur
moderator	debattleder, ordstyrer
